fullname,identifier,fsf_free,osi_approved,url
BSD Zero Clause License,0BSD,,Y,https://spdx.org/licenses/0BSD.html
Attribution Assurance License,AAL,,Y,https://spdx.org/licenses/AAL.html
Abstyles License,Abstyles,,,https://spdx.org/licenses/Abstyles.html
AdaCore Doc License,AdaCore-doc,,,https://spdx.org/licenses/AdaCore-doc.html
Adobe Systems Incorporated Source Code License Agreement,Adobe-2006,,,https://spdx.org/licenses/Adobe-2006.html
Adobe Glyph List License,Adobe-Glyph,,,https://spdx.org/licenses/Adobe-Glyph.html
Amazon Digital Services License,ADSL,,,https://spdx.org/licenses/ADSL.html
Academic Free License v1.1,AFL-1.1,Y,Y,https://spdx.org/licenses/AFL-1.1.html
Academic Free License v1.2,AFL-1.2,Y,Y,https://spdx.org/licenses/AFL-1.2.html
Academic Free License v2.0,AFL-2.0,Y,Y,https://spdx.org/licenses/AFL-2.0.html
Academic Free License v2.1,AFL-2.1,Y,Y,https://spdx.org/licenses/AFL-2.1.html
Academic Free License v3.0,AFL-3.0,Y,Y,https://spdx.org/licenses/AFL-3.0.html
Afmparse License,Afmparse,,,https://spdx.org/licenses/Afmparse.html
Affero General Public License v1.0 only,AGPL-1.0-only,,,https://spdx.org/licenses/AGPL-1.0-only.html
Affero General Public License v1.0 or later,AGPL-1.0-or-later,,,https://spdx.org/licenses/AGPL-1.0-or-later.html
GNU Affero General Public License v3.0 only,AGPL-3.0-only,Y,Y,https://spdx.org/licenses/AGPL-3.0-only.html
GNU Affero General Public License v3.0 or later,AGPL-3.0-or-later,Y,Y,https://spdx.org/licenses/AGPL-3.0-or-later.html
Aladdin Free Public License,Aladdin,,,https://spdx.org/licenses/Aladdin.html
AMD's plpa_map.c License,AMDPLPA,,,https://spdx.org/licenses/AMDPLPA.html
Apple MIT License,AML,,,https://spdx.org/licenses/AML.html
Academy of Motion Picture Arts and Sciences BSD,AMPAS,,,https://spdx.org/licenses/AMPAS.html
ANTLR Software Rights Notice,ANTLR-PD,,,https://spdx.org/licenses/ANTLR-PD.html
ANTLR Software Rights Notice with license fallback,ANTLR-PD-fallback,,,https://spdx.org/licenses/ANTLR-PD-fallback.html
Apache License 1.0,Apache-1.0,Y,,https://spdx.org/licenses/Apache-1.0.html
Apache License 1.1,Apache-1.1,Y,Y,https://spdx.org/licenses/Apache-1.1.html
Apache License 2.0,Apache-2.0,Y,Y,https://spdx.org/licenses/Apache-2.0.html
Adobe Postscript AFM License,APAFML,,,https://spdx.org/licenses/APAFML.html
Adaptive Public License 1.0,APL-1.0,,Y,https://spdx.org/licenses/APL-1.0.html
App::s2p License,App-s2p,,,https://spdx.org/licenses/App-s2p.html
Apple Public Source License 1.0,APSL-1.0,,Y,https://spdx.org/licenses/APSL-1.0.html
Apple Public Source License 1.1,APSL-1.1,,Y,https://spdx.org/licenses/APSL-1.1.html
Apple Public Source License 1.2,APSL-1.2,,Y,https://spdx.org/licenses/APSL-1.2.html
Apple Public Source License 2.0,APSL-2.0,Y,Y,https://spdx.org/licenses/APSL-2.0.html
Arphic Public License,Arphic-1999,,,https://spdx.org/licenses/Arphic-1999.html
Artistic License 1.0,Artistic-1.0,,Y,https://spdx.org/licenses/Artistic-1.0.html
Artistic License 1.0 w/clause 8,Artistic-1.0-cl8,,Y,https://spdx.org/licenses/Artistic-1.0-cl8.html
Artistic License 1.0 (Perl),Artistic-1.0-Perl,,Y,https://spdx.org/licenses/Artistic-1.0-Perl.html
Artistic License 2.0,Artistic-2.0,Y,Y,https://spdx.org/licenses/Artistic-2.0.html
Baekmuk License,Baekmuk,,,https://spdx.org/licenses/Baekmuk.html
Bahyph License,Bahyph,,,https://spdx.org/licenses/Bahyph.html
Barr License,Barr,,,https://spdx.org/licenses/Barr.html
Beerware License,Beerware,,,https://spdx.org/licenses/Beerware.html
Bitstream Charter Font License,Bitstream-Charter,,,https://spdx.org/licenses/Bitstream-Charter.html
Bitstream Vera Font License,Bitstream-Vera,,,https://spdx.org/licenses/Bitstream-Vera.html
BitTorrent Open Source License v1.0,BitTorrent-1.0,,,https://spdx.org/licenses/BitTorrent-1.0.html
BitTorrent Open Source License v1.1,BitTorrent-1.1,Y,,https://spdx.org/licenses/BitTorrent-1.1.html
SQLite Blessing,blessing,,,https://spdx.org/licenses/blessing.html
Blue Oak Model License 1.0.0,BlueOak-1.0.0,,,https://spdx.org/licenses/BlueOak-1.0.0.html
Borceux license,Borceux,,,https://spdx.org/licenses/Borceux.html
Brian Gladman 3-Clause License,Brian-Gladman-3-Clause,,,https://spdx.org/licenses/Brian-Gladman-3-Clause.html
BSD 1-Clause License,BSD-1-Clause,,Y,https://spdx.org/licenses/BSD-1-Clause.html
"BSD 2-Clause ""Simplified"" License",BSD-2-Clause,Y,Y,https://spdx.org/licenses/BSD-2-Clause.html
BSD-2-Clause Plus Patent License,BSD-2-Clause-Patent,,Y,https://spdx.org/licenses/BSD-2-Clause-Patent.html
BSD 2-Clause with views sentence,BSD-2-Clause-Views,,,https://spdx.org/licenses/BSD-2-Clause-Views.html
"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,Y,Y,https://spdx.org/licenses/BSD-3-Clause.html
BSD with attribution,BSD-3-Clause-Attribution,,,https://spdx.org/licenses/BSD-3-Clause-Attribution.html
BSD 3-Clause Clear License,BSD-3-Clause-Clear,Y,,https://spdx.org/licenses/BSD-3-Clause-Clear.html
Lawrence Berkeley National Labs BSD variant license,BSD-3-Clause-LBNL,,Y,https://spdx.org/licenses/BSD-3-Clause-LBNL.html
BSD 3-Clause Modification,BSD-3-Clause-Modification,,,https://spdx.org/licenses/BSD-3-Clause-Modification.html
BSD 3-Clause No Military License,BSD-3-Clause-No-Military-License,,,https://spdx.org/licenses/BSD-3-Clause-No-Military-License.html
BSD 3-Clause No Nuclear License,BSD-3-Clause-No-Nuclear-License,,,https://spdx.org/licenses/BSD-3-Clause-No-Nuclear-License.html
BSD 3-Clause No Nuclear License 2014,BSD-3-Clause-No-Nuclear-License-2014,,,https://spdx.org/licenses/BSD-3-Clause-No-Nuclear-License-2014.html
BSD 3-Clause No Nuclear Warranty,BSD-3-Clause-No-Nuclear-Warranty,,,https://spdx.org/licenses/BSD-3-Clause-No-Nuclear-Warranty.html
BSD 3-Clause Open MPI variant,BSD-3-Clause-Open-MPI,,,https://spdx.org/licenses/BSD-3-Clause-Open-MPI.html
"BSD 4-Clause ""Original"" or ""Old"" License",BSD-4-Clause,Y,,https://spdx.org/licenses/BSD-4-Clause.html
BSD 4 Clause Shortened,BSD-4-Clause-Shortened,,,https://spdx.org/licenses/BSD-4-Clause-Shortened.html
BSD-4-Clause (University of California-Specific),BSD-4-Clause-UC,,,https://spdx.org/licenses/BSD-4-Clause-UC.html
BSD 4.3 RENO License,BSD-4.3RENO,,,https://spdx.org/licenses/BSD-4.3RENO.html
BSD 4.3 TAHOE License,BSD-4.3TAHOE,,,https://spdx.org/licenses/BSD-4.3TAHOE.html
BSD Advertising Acknowledgement License,BSD-Advertising-Acknowledgement,,,https://spdx.org/licenses/BSD-Advertising-Acknowledgement.html
BSD with Attribution and HPND disclaimer,BSD-Attribution-HPND-disclaimer,,,https://spdx.org/licenses/BSD-Attribution-HPND-disclaimer.html
BSD Protection License,BSD-Protection,,,https://spdx.org/licenses/BSD-Protection.html
BSD Source Code Attribution,BSD-Source-Code,,,https://spdx.org/licenses/BSD-Source-Code.html
Boost Software License 1.0,BSL-1.0,Y,Y,https://spdx.org/licenses/BSL-1.0.html
Business Source License 1.1,BUSL-1.1,,,https://spdx.org/licenses/BUSL-1.1.html
bzip2 and libbzip2 License v1.0.6,bzip2-1.0.6,,,https://spdx.org/licenses/bzip2-1.0.6.html
Computational Use of Data Agreement v1.0,C-UDA-1.0,,,https://spdx.org/licenses/C-UDA-1.0.html
Cryptographic Autonomy License 1.0,CAL-1.0,,Y,https://spdx.org/licenses/CAL-1.0.html
Cryptographic Autonomy License 1.0 (Combined Work Exception),CAL-1.0-Combined-Work-Exception,,Y,https://spdx.org/licenses/CAL-1.0-Combined-Work-Exception.html
Caldera License,Caldera,,,https://spdx.org/licenses/Caldera.html
Computer Associates Trusted Open Source License 1.1,CATOSL-1.1,,Y,https://spdx.org/licenses/CATOSL-1.1.html
Creative Commons Attribution 1.0 Generic,CC-BY-1.0,,,https://spdx.org/licenses/CC-BY-1.0.html
Creative Commons Attribution 2.0 Generic,CC-BY-2.0,,,https://spdx.org/licenses/CC-BY-2.0.html
Creative Commons Attribution 2.5 Generic,CC-BY-2.5,,,https://spdx.org/licenses/CC-BY-2.5.html
Creative Commons Attribution 2.5 Australia,CC-BY-2.5-AU,,,https://spdx.org/licenses/CC-BY-2.5-AU.html
Creative Commons Attribution 3.0 Unported,CC-BY-3.0,,,https://spdx.org/licenses/CC-BY-3.0.html
Creative Commons Attribution 3.0 Austria,CC-BY-3.0-AT,,,https://spdx.org/licenses/CC-BY-3.0-AT.html
Creative Commons Attribution 3.0 Germany,CC-BY-3.0-DE,,,https://spdx.org/licenses/CC-BY-3.0-DE.html
Creative Commons Attribution 3.0 IGO,CC-BY-3.0-IGO,,,https://spdx.org/licenses/CC-BY-3.0-IGO.html
Creative Commons Attribution 3.0 Netherlands,CC-BY-3.0-NL,,,https://spdx.org/licenses/CC-BY-3.0-NL.html
Creative Commons Attribution 3.0 United States,CC-BY-3.0-US,,,https://spdx.org/licenses/CC-BY-3.0-US.html
Creative Commons Attribution 4.0 International,CC-BY-4.0,Y,,https://spdx.org/licenses/CC-BY-4.0.html
Creative Commons Attribution Non Commercial 1.0 Generic,CC-BY-NC-1.0,,,https://spdx.org/licenses/CC-BY-NC-1.0.html
Creative Commons Attribution Non Commercial 2.0 Generic,CC-BY-NC-2.0,,,https://spdx.org/licenses/CC-BY-NC-2.0.html
Creative Commons Attribution Non Commercial 2.5 Generic,CC-BY-NC-2.5,,,https://spdx.org/licenses/CC-BY-NC-2.5.html
Creative Commons Attribution Non Commercial 3.0 Unported,CC-BY-NC-3.0,,,https://spdx.org/licenses/CC-BY-NC-3.0.html
Creative Commons Attribution Non Commercial 3.0 Germany,CC-BY-NC-3.0-DE,,,https://spdx.org/licenses/CC-BY-NC-3.0-DE.html
Creative Commons Attribution Non Commercial 4.0 International,CC-BY-NC-4.0,,,https://spdx.org/licenses/CC-BY-NC-4.0.html
Creative Commons Attribution Non Commercial No Derivatives 1.0 Generic,CC-BY-NC-ND-1.0,,,https://spdx.org/licenses/CC-BY-NC-ND-1.0.html
Creative Commons Attribution Non Commercial No Derivatives 2.0 Generic,CC-BY-NC-ND-2.0,,,https://spdx.org/licenses/CC-BY-NC-ND-2.0.html
Creative Commons Attribution Non Commercial No Derivatives 2.5 Generic,CC-BY-NC-ND-2.5,,,https://spdx.org/licenses/CC-BY-NC-ND-2.5.html
Creative Commons Attribution Non Commercial No Derivatives 3.0 Unported,CC-BY-NC-ND-3.0,,,https://spdx.org/licenses/CC-BY-NC-ND-3.0.html
Creative Commons Attribution Non Commercial No Derivatives 3.0 Germany,CC-BY-NC-ND-3.0-DE,,,https://spdx.org/licenses/CC-BY-NC-ND-3.0-DE.html
Creative Commons Attribution Non Commercial No Derivatives 3.0 IGO,CC-BY-NC-ND-3.0-IGO,,,https://spdx.org/licenses/CC-BY-NC-ND-3.0-IGO.html
Creative Commons Attribution Non Commercial No Derivatives 4.0 International,CC-BY-NC-ND-4.0,,,https://spdx.org/licenses/CC-BY-NC-ND-4.0.html
Creative Commons Attribution Non Commercial Share Alike 1.0 Generic,CC-BY-NC-SA-1.0,,,https://spdx.org/licenses/CC-BY-NC-SA-1.0.html
Creative Commons Attribution Non Commercial Share Alike 2.0 Generic,CC-BY-NC-SA-2.0,,,https://spdx.org/licenses/CC-BY-NC-SA-2.0.html
